dataset,lib,fmt,n_trees,batch,bytes,t_numpy_s,t_import_s,t_load_s,t_first_pred_s,t_steady_p50_s,t_steady_p95_s,ttfp,import_share,n_obs
calif,lgb,joblib,2000,1,5744699.0,0.073698552,1.957243647,0.060000485000000006,0.004183116000000001,0.0011919040000000001,0.001391726,2188.889185,91.53592119365092,5
calif,lgb,joblib,2000,32,5744699.0,0.0745744,1.999603645,0.05922786,0.008385819000000001,0.0054453620000000005,0.009002294000000001,2183.354759,91.48271570615958,5
calif,lgb,joblib,2000,1024,5744699.0,0.09708291000000001,1.997275598,0.06086648,0.143301282,0.140543212,0.28960685,2338.113033,85.52458349634952,5
calif,lgb,native,100,1,287318.0,0.078285666,1.941905548,0.014630537,0.00033924700000000004,4.1517e-05,6.7002e-05,2095.059622,93.53331142162304,5
calif,lgb,native,100,32,287318.0,0.07799645200000001,1.956130291,0.017467571,0.000653879,0.000318092,0.00040233600000000005,2095.941106,93.63999326920055,5
calif,lgb,native,100,1024,287318.0,0.073226159,1.942883874,0.015151773,0.009365946,0.008311524,0.009911618,2083.077196,93.26989310481608,5
calif,lgb,native,500,1,1423518.0,0.091006135,2.011286651,0.025665869,0.00046335,8.405700000000001e-05,0.00015968500000000001,2154.695467,92.71443082260123,5
calif,lgb,native,500,32,1423518.0,0.079347348,1.974980806,0.024942807,0.001624006,0.001182445,0.001319889,2126.213883,93.14599849461895,5
calif,lgb,native,500,1024,1423518.0,0.103737359,1.999097174,0.025042825,0.035706019000000006,0.035563354000000005,0.047598055,2184.1307460000003,91.5282740129514,5
calif,lgb,native,2000,1,5743233.0,0.073975711,1.982675259,0.077955877,0.0008634910000000001,0.00032108900000000004,0.00042533500000000005,2173.956289,91.4440959047917,5
calif,lgb,native,2000,32,5743233.0,0.076078938,1.946963721,0.078263126,0.008493159,0.00767744,0.009287151,2140.8310030000002,91.18618858080161,5
calif,lgb,native,2000,1024,5743233.0,0.074109873,1.965700341,0.06457120100000001,0.236246429,0.24469812100000002,0.306867076,2384.461046,82.3257956264823,5
calif,lgb,onnx,100,1,223504.0,0.07308744,0.040307792,0.009829008,0.000442937,9.536e-06,1.5186000000000002e-05,168.152981,24.040628633844342,5
calif,lgb,onnx,100,32,223504.0,0.07391874300000001,0.040982569,0.010023333,0.000689018,0.00017787300000000002,0.000219928,171.63024900000002,24.210726047510825,5
calif,lgb,onnx,100,1024,223504.0,0.10714727900000001,0.059129494000000005,0.015083914,0.006804793000000001,0.006166272,0.006647187000000001,232.15157700000003,25.01757549432157,5
calif,lgb,onnx,500,1,1149338.0,0.07461459000000001,0.040591709000000004,0.034155359,0.00052131,1.9202e-05,3.0214000000000002e-05,198.00484100000006,20.85404378061867,5
